"Logradouro/Nome","Bairro/Distrito","Localidade/UF","CEP"
"Rua Martim Francisco - até 859/860 ","Gutierrez ","Belo Horizonte/MG ","30441-127"
"Rua Martim Francisco - de 861/862 ao fim ","Grajaú ","Belo Horizonte/MG ","30431-137"
"Rua Martim Francisco Andrada ","Mineirão ","Belo Horizonte/MG ","30672-490"
"Rua Martim Francisco ","Santanense ","Itaúna/MG ","35681-188"
"Rua Martim Francisco ","Estados Unidos ","Uberaba/MG ","38015-130"
"Rua Martim Francisco ","Nova Rússia ","Ponta Grossa/PR ","84053-400"
"Rua Martim Francisco ","Santa Cruz ","Rio de Janeiro/RJ ","23555-030"
"Rua Martim Francisco ","Jardim Enguaguassu (Vicente de Carvalho) ","Guarujá/SP ","11450-030"
"Rua Martim Francisco ","Jardim Doutor João Batista Levy ","Limeira/SP ","13486-089"
"Rua Martim Francisco ","Vila Amélia ","Ribeirão Preto/SP ","14050-260"
"Rua Martim Francisco ","Encruzilhada ","Santos/SP ","11015-480"
"Rua Martim Francisco de Andrade e Silva (Vl Rosa) ","Independência ","São Bernardo do Campo/SP ","09862-340"
"Rua Martim Francisco ","Santa Paula ","São Caetano do Sul/SP ","09541-330"
"Rua Martim Francisco - até 315 - lado ímpar ","Santa Cecília ","São Paulo/SP ","01226-001"
"Rua Martim Francisco - até 334 - lado par ","Vila Buarque ","São Paulo/SP ","01226-000"
"Rua Martim Francisco - de 317 a 99999 - lado ímpar ","Vila Buarque ","São Paulo/SP ","01226-003"
"Rua Martim Francisco - de 336 ao fim - lado par ","Vila Buarque ","São Paulo/SP ","01226-002"
"Rua Martins da Silveira ","São Francisco ","Manaus/AM ","69063-160"
"Rua Francisco Martins da Silva ","Ponto Central ","Feira de Santana/BA ","44075-475"
"Rua Francisco Martins Duarte ","Centro ","Juazeiro/BA ","48903-545"
"Rua Francisco Martins Duarte ","Coréia ","Juazeiro/BA ","48904-117"
"Rua Francisco da Rocha Martins ","Pabussu ","Caucaia/CE ","61609-090"
"Rua Francisco das Chagas Martins Filho ","Urucutuba (Jurema) ","Caucaia/CE ","61660-090"
"Rua Francisco Cleyton Cardoso Martins ","Planalto ","Crateús/CE ","63702-575"
"Rua Francisco Torres Martins ","Maratoan ","Crateús/CE ","63700-560"
"Rua Francisco Martins de Sousa ","Lagoa Seca ","Juazeiro do Norte/CE ","63041-690"
"Rua Francisco Martins de Souza ","Jardim Gonzaga ","Juazeiro do Norte/CE ","63046-510"
"Rua Comerciante Francisco Martins de Queiroz ","Curicaca ","Quixadá/CE ","63902-855"
"Rua Almerico Martins Viana ","São Francisco de Assis ","Cachoeiro de Itapemirim/ES ","29317-451"
"Rua Francisco Martins ","Amarelo ","Cachoeiro de Itapemirim/ES ","29304-615"
"Rua Francisco Martins de Paula ","Alto Lage ","Cariacica/ES ","29151-180"
"Rua Luiz Martins ","Francisco Simonassi ","Colatina/ES ","29706-183"
"Rua Maria Carolina Martins ","Francisco Simonassi ","Colatina/ES ","29706-125"
"Rua Francisco Martins da Costa ","Morada de Camburi ","Vitória/ES ","29062-570"
"Rua João Francisco Martins ","Margon II ","Catalão/GO ","75713-030"
"Rua Rubens Costa Martins ","São Francisco ","Catalão/GO ","75707-320"
"Rua Francisco Martins ","Condomínio Santa Rita - 8ª Etapa ","Goiânia/GO ","74370-482"
"Rua Olga Rocha Martins ","Francisco Duarte ","Araxá/MG ","38181-038"
"Rua Francisco Martins Marques ","Vale do Jatobá (Barreiro) ","Belo Horizonte/MG ","30664-170"
"Rua Francisco José Martins ","Califórnia ","Betim/MG ","32618-480"
"Rua Areclides Martins ","Jardim Francisco Pena ","Caratinga/MG ","35303-460"
"Rua Francisco Senra Martins ","Praia ","Congonhas/MG ","36416-144"
"Rua Francisco Martins da Cruz ","Orion ","Divinópolis/MG ","35502-419"
"Rua Deputado Francisco Martins Andrade ","Satélite Andradina ","Ituiutaba/MG ","38308-182"
"Rua Francisco Martins de Andrade - até 208/209 ","Lagoa Azul ","Ituiutaba/MG ","38307-261"
"Rua Francisco Martins de Andrade - de 210/211 ao fim ","Sol Nascente ","Ituiutaba/MG ","38307-382"
"Rua Francisco Martins de Siqueira ","Boa Vista ","Patos de Minas/MG ","38705-107"
"Rua Francisco Martins ","Cícero Passos ","Pirapora/MG ","39276-018"
"Rua Francisco Martins ","Cinquentenário ","Pirapora/MG ","39274-042"
"Rua Wellington Martins Alves ","São Francisco ","Três Corações/MG ","37414-518"
